phase,url,source_file,page_type,local_status,production_status,indexable,robots_directives,canonical,canonical_target_status,title,title_length,meta_description,description_length,h1,h2_h3_structure,word_count,language,publication_date,modified_date,author,breadcrumbs,schema_types,internal_inbound_links,internal_outbound_links,external_outbound_links,broken_links,image_count,images_missing_alt,images_missing_dimensions,page_depth,orphan,sitemap_inclusion,duplicate_title,duplicate_description,content_sha256
baseline,https://robertdevore.com/blog/page/11/,generated listing/archive,pagination,200,200,True,"index, follow (default)",https://robertdevore.com/blog/page/11/,200,Blog | Robert DeVore,20,"Software systems, developer tools, agentic workflows, and technical writing.",76,Writing,H2: Relentless | H2: Chapters for Authors | H2: Twitter Marketing | H2: Invest in Yourself | H2: CannaBiz | H2: Devio Digital | H2: Health Benefits of Cannabis | H2: Recent project updates | H2: Making up for lost time | H2: Slackedd | H2: Patience | H2: WP Dispensary,611,en,,,Robert DeVore,False,Organization; WebSite,5,54,2,0,1,0,0,3,False,True,True,True,9c6458df50ec7f87182464c579f47410b7999b618fd87b6e572928ec427a4caf
baseline,https://robertdevore.com/blog/page/12/,generated listing/archive,pagination,200,200,True,"index, follow (default)",https://robertdevore.com/blog/page/12/,200,Blog | Robert DeVore,20,"Software systems, developer tools, agentic workflows, and technical writing.",76,Writing,H2: Leafly Reviews | H2: Focus | H2: Peddle | H2: MNML | H2: Run a Tor relay | H2: Clean Blog,308,en,,,Robert DeVore,False,Organization; WebSite,12,34,2,0,1,0,0,2,False,True,True,True,9a93b49f4f05218d20a10db26d301ea982aaf3ff839ba439434e2f58c72e9b63
baseline,https://robertdevore.com/blog/page/2/,generated listing/archive,pagination,200,200,True,"index, follow (default)",https://robertdevore.com/blog/page/2/,200,Blog | Robert DeVore,20,"Software systems, developer tools, agentic workflows, and technical writing.",76,Writing,"H2: How I Use TextExpander to Reuse My Best AI Prompts | H2: Introducing: DB Version Control for WordPress | H2: How to build a content engine that scales with you | H2: Tools and Workflows for Formatting, Visuals, and Citations | H2: How to edit AI content so it feels clean, not robotic | H2: How to Build Modular Prompts That Save You Hours Per Week | H2: How to teach AI to match your voice | H2: How to Write Prompts That Get the Tone, Structure, and Intent Right | H2: Introducing automattic.css – An open source CSS Utility Framework | H2: How to Use AI to Research, Validate Ideas, and Stay Relevant | H2: 5 Questions You Must Answer Before Writing Anything | H2: Introducing the Prompts Library – A Playground for AI Creativity",658,en,,,Robert DeVore,False,Organization; WebSite,5,54,2,0,1,0,0,2,False,True,True,True,16b939c54e16d1330d062621fe0397a0bfba3655f714ee9340fe6caac5365cdb
baseline,https://robertdevore.com/blog/page/3/,generated listing/archive,pagination,200,200,True,"index, follow (default)",https://robertdevore.com/blog/page/3/,200,Blog | Robert DeVore,20,"Software systems, developer tools, agentic workflows, and technical writing.",76,Writing,"H2: Just Released: Stattic v.0.3.0 | H2: What Makes Content Beautifully Useful? | H2: Extreme Programming for Extreme Leaders | H2: Plan. Prompt. Publish. A Practical Guide to Creating Beautifully Useful Content with AI | H2: Celebrating GAAD with IMG A11Y v1.1.0 | H2: WordPress Plugin Security Is a Joke, and You’re the Punchline | H2: Use AI to create your own WWF Action Figure Blister Packs | H2: Say Goodbye to WordPress | H2: Don’t Shoot the Messenger: Choose Courage Over Convenience | H2: Kevin Michael Geary: A Hidden History of Hate, Racism, and Bigotry | H2: Open Source is Anarchism in Action | H2: Do Less, Deliver More",587,en,,,Robert DeVore,False,Organization; WebSite,6,55,2,0,1,0,0,2,False,True,True,True,4fa4a527e90bd1c522a820efad3a76bbe474ce268ecb8f0af0c5b0d76395baf7
baseline,https://robertdevore.com/blog/page/4/,generated listing/archive,pagination,200,200,True,"index, follow (default)",https://robertdevore.com/blog/page/4/,200,Blog | Robert DeVore,20,"Software systems, developer tools, agentic workflows, and technical writing.",76,Writing,"H2: LEAP: The Code of Extreme Leadership | H2: Introducing Projects for WordPress®: A Better Way to Showcase Your Work | H2: Rethinking Keyword Research in the Age of AI | H2: Introducing Slop Stopper: A free content checker for WordPress® | H2: Introducing Dispensary Details for WooCommerce® | H2: I’m freelancing again | H2: Stop Gambling With Client Trust: Why Skipping a Security Audit Is a Risk You Can’t Afford | H2: Introducing an experimental new plugin: Email Designer for WooCommerce® | H2: BoostBox: Free Popups That Work, Pro Popups That Convert | H2: Introducing Pattern Pal: AI-Powered Patterns for WordPress® | H2: Introducing Digg This: A social sharing plugin for WordPress® | H2: Why WordPress Plugin Developers Need Security Audits",603,en,,,Robert DeVore,False,Organization; WebSite,6,56,2,0,1,0,0,3,False,True,True,True,59eca8d457ca254e2f91db0ff56f93015cdc7a85f87c68ee6c8f327ed17fb3f1
baseline,https://robertdevore.com/blog/page/5/,generated listing/archive,pagination,200,200,True,"index, follow (default)",https://robertdevore.com/blog/page/5/,200,Blog | Robert DeVore,20,"Software systems, developer tools, agentic workflows, and technical writing.",76,Writing,"H2: How a Security Audit Can Save Your E-Commerce Store from Disaster | H2: IntelliPress: The Smart AF AI Assistant for WordPress® | H2: Hello, Plugin Pal: Your AI Powered Plugin Generator for WordPress® | H2: Introducing Broken Image Scanner | H2: How to Block Website Tracking Data in WooCommerce® | H2: Introducing Block AI Crawlers for WordPress® | H2: Honoring Jesse Petersen with the Revival of “Stealth Login Page” | H2: December 2024: A Retrospective | H2: Reusable Flask Error Handling: A Step-by-Step Guide to Modular HTTP Error Responses | H2: Introducing SEO for WordPress® | H2: Introducing Delete Inactive Users | H2: How to Stop Your Plugins & Themes from Being Used on WordPress.com Hosting",584,en,,,Robert DeVore,False,Organization; WebSite,6,56,2,0,1,0,0,3,False,True,True,True,3122254aa1b2e359471583c6e3196865f239074872e965692e50d7e97e057de8
baseline,https://robertdevore.com/blog/page/6/,generated listing/archive,pagination,200,200,True,"index, follow (default)",https://robertdevore.com/blog/page/6/,200,Blog | Robert DeVore,20,"Software systems, developer tools, agentic workflows, and technical writing.",76,Writing,H2: Host Your WordPress Plugins on GitHub and Automate Plugin Packaging | H2: Introducing HPOS Compatibility Scanner for WooCommerce® (free) | H2: Introducing Shipping Multiple Addresses for WooCommerce® (free) | H2: Introducing IMG A11Y | H2: Introducing Vertical Gallery Product Display for WooCommerce® | H2: Introducing Site Vitals for WordPress® | H2: Introducing Associated Taxonomies for WordPress® | H2: Introducing Maintenance Mode for WordPress® | H2: Introducing Persistent Dismissible Notices | H2: Introducing Test Orders for WooCommerce® | H2: Introducing Media File Versioning for WordPress® | H2: Introducing Purchase Orders for WooCommerce® (free),538,en,,,Robert DeVore,False,Organization; WebSite,6,56,2,0,1,0,0,4,False,True,True,True,ad62fa53616ab9e879360a103b96cc016da9a91a176692995b46f9801e9b4811
baseline,https://robertdevore.com/blog/page/7/,generated listing/archive,pagination,200,200,True,"index, follow (default)",https://robertdevore.com/blog/page/7/,200,Blog | Robert DeVore,20,"Software systems, developer tools, agentic workflows, and technical writing.",76,Writing,H2: Introducing Table Block Enhancer for WordPress® | H2: Introducing Metadata Import/Export for Yoast SEO | H2: Introducing Bluesky Feed for WordPress® | H2: Introducing Media Copyright Scanner | H2: Introducing Stats for WordPress® | H2: Introducing Bulk Stock Management for WooCommerce® (free) | H2: Introducing Barcodes for WooCommerce® (free) | H2: Introducing Brands for WooCommerce® (free) | H2: Just Released: Customer Loyalty for WooCommerce® v2.0.0! | H2: Introducing the Module Usage Tracker for WP Bakery | H2: Introducing Markdown Exporter for WordPress® | H2: Introducing BenchPress: Performance Benchmarks for WordPress®,555,en,,,Robert DeVore,False,Organization; WebSite,6,56,2,0,1,0,0,4,False,True,True,True,4bfe337ada209c6d39d2f2c28cbc6e5e0b9d52a3b7c22f96e7e106d04bcf81c7
baseline,https://robertdevore.com/blog/page/8/,generated listing/archive,pagination,200,200,True,"index, follow (default)",https://robertdevore.com/blog/page/8/,200,Blog | Robert DeVore,20,"Software systems, developer tools, agentic workflows, and technical writing.",76,Writing,H2: Introducing Content Restriction for WordPress® | H2: Introducing Widget Usage Tracker for Elementor | H2: Introducing Gift Cards for WooCommerce® (free) | H2: Release Notes: Back In Stock Notifications for WooCommerce® (free) v1.0.1 | H2: Introducing Back In Stock Notifications for WooCommerce® | H2: Introducing Gallery Modals: Enhance Your WordPress® Galleries with Stunning Popups! | H2: Introducing the User Login Status Plugin for WordPress | H2: WTF is WordPress? | H2: Introducing the Phlush Permalinks WordPress Plugin | H2: Introducing BoostBox: The 1st WordPress popup builder for the core editor | H2: Improve CLS scores by dynamically setting image width and height | H2: WordPress plugin with 5M+ active installs can be utilized in DDoS attacks,588,en,,,Robert DeVore,False,Organization; WebSite,6,56,2,0,1,0,0,4,False,True,True,True,9d29c1a8b16a7a5dfbbc8164cd4b2c436584c2c076dccb4535cb288b9500c7c9
baseline,https://robertdevore.com/blog/page/9/,generated listing/archive,pagination,200,200,True,"index, follow (default)",https://robertdevore.com/blog/page/9/,200,Blog | Robert DeVore,20,"Software systems, developer tools, agentic workflows, and technical writing.",76,Writing,"H2: 5 Python Scripts for OSINT and Pentesting | H2: Introducing IntelliPress: The Smart Ai Assistant for WordPress | H2: Creating my own cipher code | H2: “How hungry are you?” | H2: The past, present and future of WP Dispensary | H2: How to customize the style of your WordPress login screen | H2: Going all in: One year later | H2: Delivery Drivers for WooCommerce | H2: Thank You WordPress | H2: 5 Things I’ve learned building my first blocks for Gutenberg | H2: Back to Basics | H2: WP Dispensary v2.0 is being released on 4/20",638,en,,,Robert DeVore,False,Organization; WebSite,6,56,2,0,1,0,0,4,False,True,True,True,0fb68a6c945c488882aac2bd9db05b755859260b22f8f3c551b29dcc71cd44ce
baseline,https://robertdevore.com/boostbox-free-popups-that-work-pro-popups-that-convert/,content/posts/boostbox-free-popups-that-work-pro-popups-that-convert.md,article,200,200,True,"index, follow (default)",https://robertdevore.com/boostbox-free-popups-that-work-pro-popups-that-convert/,200,"BoostBox: Free Popups That Work, Pro Popups That Convert | Robert DeVore",72,"Popups are fucking powerful – when they don’t suck. The problem? Most popup plugins are bloated, slow, and designed by people who clearly hate web performance . They force you into some janky drag-and-drop builder, load…",220,"BoostBox: Free Popups That Work, Pro Popups That Convert","H2: 1. It Works Inside the WordPress® Editor, Like It Fucking Should | H2: 2. Smart Popups, Not Annoying Popups | H2: 3. Design It However the Hell You Want | H2: 4. Fast as Fuck | H2: 5. Free Forever (But Pro Takes It to the Next Level) | H3: Why Go Pro? | H2: Final Thoughts: Get BoostBox, Then Get Paid | H2: Related Reading",754,en,2025-02-11,,Robert DeVore,True,BlogPosting; Organization; Person,5,23,8,5,6,0,5,3,False,True,False,False,dac55691d924dd2c67c6d2c98a4d5e604ffe8c7a351de52d72326763752af525
baseline,https://robertdevore.com/boostbox-wordpress-popup-builder-for-the-core-editor/,content/posts/boostbox-wordpress-popup-builder-for-the-core-editor.md,article,200,200,True,"index, follow (default)",https://robertdevore.com/boostbox-wordpress-popup-builder-for-the-core-editor/,200,Introducing BoostBox: The 1st WordPress popup builder for the core editor | Robert DeVore,89,What better way to start off the year than to release a free WordPress plugin that lets you design your popups using the core WordPress editor? That’s exactly what I’m doing today – say hello to BoostBox 😎 Whether you…,218,Introducing BoostBox: The 1st WordPress popup builder for the core editor,H2: Why build _another popup plugin_ for WordPress? | H2: BoostBox Admin Settings | H2: Popup Display Settings | H2: BoostBox Popup Settings | H2: BoostBox works great with your favorite FSE WordPress theme | H3: Ollie + BoostBox | H3: Powder + BoostBox | H3: Kadence + BoostBox | H3: Twenty Twenty-Four + BoostBox | H2: Download the BoostBox plugin | H2: What’s next? | H2: Related Reading,1652,en,2024-01-11,,Robert DeVore,True,BlogPosting; Organization; Person,5,18,24,0,20,0,19,3,False,True,False,False,f743489d26dd342c36526b3206e4e0b1d7f045411218e8aa9bbc8e8ec1e553ef
baseline,https://robertdevore.com/cannabis-health-benefits/,content/posts/cannabis-health-benefits.md,article,200,200,True,"index, follow (default)",https://robertdevore.com/cannabis-health-benefits/,200,Health Benefits of Cannabis | Robert DeVore,43,"Nature is mans best medicine, even when those who benefit off of sick people tell you otherwise. Within the marijuana plant there are two main properties, cannabidiol (CBD) — which works without the 'high' effect - and…",219,Health Benefits of Cannabis,H2: Medical studies on the effects of cannabis | H3: 1. Anti-cancer effects | H3: 2. Control over epileptic seizures | H3: 3. Post-traumatic stress disorder | H3: 4. Prevent Alzheimer's | H3: 5. Multiple benefits for HIV patients | H2: Additional marijuana success stories | H3: Helping dispensaries grow online business | H2: Related Reading,1465,en,2016-04-20,,Robert DeVore,True,BlogPosting; Organization; Person,5,18,27,0,1,0,0,3,False,True,False,False,2e272bfb18e8cebe4d3b768961aef61ca8cedbb183e096b6319c9bc7bbb20322
baseline,https://robertdevore.com/cannabiz/,content/posts/cannabiz.md,article,200,200,True,"index, follow (default)",https://robertdevore.com/cannabiz/,200,CannaBiz | Robert DeVore,24,"After building the WP Dispensary plugin and and add-on's like MMJMenu Sync, WooCommerce Connect, Inventory Management, & Locations it was time to work on a top shelf theme that brings the entire package together. Last…",218,CannaBiz,H2: CannaBiz Features | H2: Current Version | H2: The future of WP Dispensary | H2: Related Reading,739,en,2016-06-14,,Robert DeVore,True,BlogPosting; Organization; Person,8,19,22,0,4,0,3,3,False,True,False,False,1ecbd4baa1e28fde8389e272af4402514d48d87cbd5f248d863e5f5548f3bd92
baseline,https://robertdevore.com/category/,generated listing/archive,category-archive,200,200,True,"index, follow (default)",https://robertdevore.com/category/,200,Category | Robert DeVore,24,"Software systems, developer tools, agentic workflows, and technical writing.",76,Categories,H2: Developer Tools | H2: WordPress | H2: AI & Content Systems | H2: Engineering Archive | H2: Field Notes,131,en,,,Robert DeVore,False,Organization; WebSite,0,27,2,0,1,0,0,unreachable,True,True,False,True,966d906572b612b86c07adcb29f393427ea9313764c56270e5ba3399fdce7bd0
baseline,https://robertdevore.com/category/ai-content-systems/,content/category/ai-content-systems.md,category-archive,200,200,True,"index, follow (default)",https://robertdevore.com/category/ai-content-systems/,200,AI & Content Systems | Robert DeVore,36,Writing filed under AI & Content Systems.,41,AI & Content Systems,H2: Articles,144,en,2025-05-27,,Robert DeVore,False,BlogPosting; Organization; Person,3,25,2,0,1,0,0,unreachable,False,True,False,False,528ecc1a312898558db507ab3a7350600a0380cd14f56b61481c9ba72606576d
baseline,https://robertdevore.com/category/developer-tools/,content/category/developer-tools.md,category-archive,200,200,True,"index, follow (default)",https://robertdevore.com/category/developer-tools/,200,Developer Tools | Robert DeVore,31,Writing filed under Developer Tools.,36,Developer Tools,H2: Articles,87,en,2025-07-03,,Robert DeVore,False,BlogPosting; Organization; Person,3,22,2,0,1,0,0,unreachable,False,True,False,False,464058d186343a62520d9662f559f6663a2297fdbd4b6bf815bf74c291fc011f
baseline,https://robertdevore.com/category/engineering-archive/,content/category/engineering-archive.md,category-archive,200,200,True,"index, follow (default)",https://robertdevore.com/category/engineering-archive/,200,Engineering Archive | Robert DeVore,35,Writing filed under Engineering Archive.,40,Engineering Archive,H2: Articles,17,en,2016-12-20,,Robert DeVore,False,BlogPosting; Organization; Person,3,15,2,0,1,0,0,unreachable,False,True,False,False,efb606886d71ef50198c0feb549e5a57ff56d2a14d69c1b2db381b03ade5c38a
baseline,https://robertdevore.com/category/field-notes/,content/category/field-notes.md,category-archive,200,200,True,"index, follow (default)",https://robertdevore.com/category/field-notes/,200,Field Notes | Robert DeVore,27,Writing filed under Field Notes.,32,Field Notes,H2: Articles,9,en,2016-06-21,,Robert DeVore,False,BlogPosting; Organization; Person,3,13,2,0,1,0,0,unreachable,False,True,False,False,6250d74f325846f4c3610cbcafdce184497ad38c7f100a259599c0ddba84a8bc
baseline,https://robertdevore.com/category/wordpress-archive/,content/category/wordpress-archive.md,category-archive,200,200,True,"index, follow (default)",https://robertdevore.com/category/wordpress-archive/,200,WordPress | Robert DeVore,25,Writing filed under WordPress.,30,WordPress,H2: Articles,811,en,2025-06-20,,Robert DeVore,False,BlogPosting; Organization; Person,3,122,2,0,1,0,0,unreachable,False,True,True,True,aaa2cd8896c9b50c088239a39845b8e8682ff5d1c5310260576d59e354dbc6c9
baseline,https://robertdevore.com/celebrating-gaad-with-img-a11y-v1-1-0/,content/posts/celebrating-gaad-with-img-a11y-v1-1-0.md,article,200,200,True,"index, follow (default)",https://robertdevore.com/celebrating-gaad-with-img-a11y-v1-1-0/,200,Celebrating GAAD with IMG A11Y v1.1.0 | Robert DeVore,53,"Today is Global Accessibility Awareness Day (GAAD) , and I’m celebrating the only way I know how: shipping code that actually helps. I pledged time with Equalize Digital to focus my time on the IMG A11Y plugin, and…",215,Celebrating GAAD with IMG A11Y v1.1.0,"H2: What is GAAD? | H2: IMG A11Y v1.1.0 – Small Changes, Big Impact | H3: 🚫 Removed A11Y Options for Non-Image Media | H3: 🔍 Elementor Support Added | H2: Why This Matters | H2: Why I’m Doing This | H2: How You Can Help | H2: Related Reading",585,en,2025-05-15,,Robert DeVore,True,BlogPosting; Organization; Person,5,21,5,3,1,0,0,3,False,True,False,False,28bf00d6e3c210df760dbba4fb5adbb90b21103200c042189ea069ac4b7670d1
baseline,https://robertdevore.com/chapters-for-authors-wordpress-plugin/,content/posts/chapters-for-authors-wordpress-plugin.md,article,200,200,True,"index, follow (default)",https://robertdevore.com/chapters-for-authors-wordpress-plugin/,200,Chapters for Authors | Robert DeVore,36,It's amazing what you can come up with randomly over the weekend while doing a dozen other things ? Case in point - Chapters for Authors ? This is a new plugin I built from an idea I got when I read a tweet from Ines…,217,Chapters for Authors,H2: Installing Chapters for Authors | H2: Creating Chapters | H3: Books | H3: Characters | H3: Introduction Quotes | H2: Thank yous | H2: The road ahead | H2: Related Reading,796,en,2016-09-27,,Robert DeVore,True,BlogPosting; Organization; Person,6,19,16,0,5,0,4,3,False,True,False,False,ac6d8fa3438edf759305a62a90aadbf8f01ea50bac1e3b26915cae8b0c7ea320
baseline,https://robertdevore.com/clean-blog-free-wordpress-theme/,content/posts/clean-blog-free-wordpress-theme.md,article,200,200,True,"index, follow (default)",https://robertdevore.com/clean-blog-free-wordpress-theme/,200,Clean Blog | Robert DeVore,26,"Today, I am releasing my first official open source WordPress theme. I've worked with WordPress for years, but have never created anything that is free to download … until now. Being able to create open source projects,…",220,Clean Blog,H2: Demo & Download | H2: Under the hood | H2: Credits & Thank-you's | H2: The road ahead | H2: Related Reading,1321,en,2015-08-07,,Robert DeVore,True,BlogPosting; Organization; Person,10,19,20,0,6,0,5,3,False,True,False,False,a9989493daebccd9d8992f1d17ed3f09d7f6d13a7299bd4372256bc5863a77dc
