phase,priority,category,affected_pages,evidence,expected_benefit,confidence,difficulty,recommended_action,status
baseline,P3,metadata,https://robertdevore.com/blog/page/6/,large Twitter card has no image,"clearer discovery, interpretation, or result presentation",high,low to medium,resolve using factual page-specific or systemic markup,open
baseline,P2,schema,https://robertdevore.com/blog/page/6/,listing represented as WebSite,"clearer discovery, interpretation, or result presentation",high,low to medium,resolve using factual page-specific or systemic markup,open
baseline,P3,crawlability,https://robertdevore.com/blog/page/6/,more than three clicks from homepage,"clearer discovery, interpretation, or result presentation",high,low to medium,resolve using factual page-specific or systemic markup,open
baseline,P3,metadata,https://robertdevore.com/blog/page/7/,duplicate title,"clearer discovery, interpretation, or result presentation",high,low to medium,resolve using factual page-specific or systemic markup,open
baseline,P3,metadata,https://robertdevore.com/blog/page/7/,duplicate description,"clearer discovery, interpretation, or result presentation",high,low to medium,resolve using factual page-specific or systemic markup,open
baseline,P3,metadata,https://robertdevore.com/blog/page/7/,legacy meta keywords present,"clearer discovery, interpretation, or result presentation",high,low to medium,resolve using factual page-specific or systemic markup,open
baseline,P3,metadata,https://robertdevore.com/blog/page/7/,large Twitter card has no image,"clearer discovery, interpretation, or result presentation",high,low to medium,resolve using factual page-specific or systemic markup,open
baseline,P2,schema,https://robertdevore.com/blog/page/7/,listing represented as WebSite,"clearer discovery, interpretation, or result presentation",high,low to medium,resolve using factual page-specific or systemic markup,open
baseline,P3,crawlability,https://robertdevore.com/blog/page/7/,more than three clicks from homepage,"clearer discovery, interpretation, or result presentation",high,low to medium,resolve using factual page-specific or systemic markup,open
baseline,P3,metadata,https://robertdevore.com/blog/page/8/,duplicate title,"clearer discovery, interpretation, or result presentation",high,low to medium,resolve using factual page-specific or systemic markup,open
baseline,P3,metadata,https://robertdevore.com/blog/page/8/,duplicate description,"clearer discovery, interpretation, or result presentation",high,low to medium,resolve using factual page-specific or systemic markup,open
baseline,P3,metadata,https://robertdevore.com/blog/page/8/,legacy meta keywords present,"clearer discovery, interpretation, or result presentation",high,low to medium,resolve using factual page-specific or systemic markup,open
baseline,P3,metadata,https://robertdevore.com/blog/page/8/,large Twitter card has no image,"clearer discovery, interpretation, or result presentation",high,low to medium,resolve using factual page-specific or systemic markup,open
baseline,P2,schema,https://robertdevore.com/blog/page/8/,listing represented as WebSite,"clearer discovery, interpretation, or result presentation",high,low to medium,resolve using factual page-specific or systemic markup,open
baseline,P3,crawlability,https://robertdevore.com/blog/page/8/,more than three clicks from homepage,"clearer discovery, interpretation, or result presentation",high,low to medium,resolve using factual page-specific or systemic markup,open
baseline,P3,metadata,https://robertdevore.com/blog/page/9/,duplicate title,"clearer discovery, interpretation, or result presentation",high,low to medium,resolve using factual page-specific or systemic markup,open
baseline,P3,metadata,https://robertdevore.com/blog/page/9/,duplicate description,"clearer discovery, interpretation, or result presentation",high,low to medium,resolve using factual page-specific or systemic markup,open
baseline,P3,metadata,https://robertdevore.com/blog/page/9/,legacy meta keywords present,"clearer discovery, interpretation, or result presentation",high,low to medium,resolve using factual page-specific or systemic markup,open
baseline,P3,metadata,https://robertdevore.com/blog/page/9/,large Twitter card has no image,"clearer discovery, interpretation, or result presentation",high,low to medium,resolve using factual page-specific or systemic markup,open
baseline,P2,schema,https://robertdevore.com/blog/page/9/,listing represented as WebSite,"clearer discovery, interpretation, or result presentation",high,low to medium,resolve using factual page-specific or systemic markup,open
baseline,P3,crawlability,https://robertdevore.com/blog/page/9/,more than three clicks from homepage,"clearer discovery, interpretation, or result presentation",high,low to medium,resolve using factual page-specific or systemic markup,open
baseline,P3,metadata,https://robertdevore.com/boostbox-free-popups-that-work-pro-popups-that-convert/,legacy meta keywords present,"clearer discovery, interpretation, or result presentation",high,low to medium,resolve using factual page-specific or systemic markup,open
baseline,P3,metadata,https://robertdevore.com/boostbox-free-popups-that-work-pro-popups-that-convert/,large Twitter card has no image,"clearer discovery, interpretation, or result presentation",high,low to medium,resolve using factual page-specific or systemic markup,open
baseline,P2,crawlability,https://robertdevore.com/boostbox-free-popups-that-work-pro-popups-that-convert/,5 broken internal links,"clearer discovery, interpretation, or result presentation",high,low to medium,resolve using factual page-specific or systemic markup,open
baseline,P3,metadata,https://robertdevore.com/boostbox-wordpress-popup-builder-for-the-core-editor/,legacy meta keywords present,"clearer discovery, interpretation, or result presentation",high,low to medium,resolve using factual page-specific or systemic markup,open
baseline,P3,metadata,https://robertdevore.com/boostbox-wordpress-popup-builder-for-the-core-editor/,large Twitter card has no image,"clearer discovery, interpretation, or result presentation",high,low to medium,resolve using factual page-specific or systemic markup,open
baseline,P3,metadata,https://robertdevore.com/cannabis-health-benefits/,legacy meta keywords present,"clearer discovery, interpretation, or result presentation",high,low to medium,resolve using factual page-specific or systemic markup,open
baseline,P3,metadata,https://robertdevore.com/cannabis-health-benefits/,large Twitter card has no image,"clearer discovery, interpretation, or result presentation",high,low to medium,resolve using factual page-specific or systemic markup,open
baseline,P3,metadata,https://robertdevore.com/cannabiz/,legacy meta keywords present,"clearer discovery, interpretation, or result presentation",high,low to medium,resolve using factual page-specific or systemic markup,open
baseline,P3,metadata,https://robertdevore.com/cannabiz/,large Twitter card has no image,"clearer discovery, interpretation, or result presentation",high,low to medium,resolve using factual page-specific or systemic markup,open
baseline,P3,metadata,https://robertdevore.com/category/,duplicate description,"clearer discovery, interpretation, or result presentation",high,low to medium,resolve using factual page-specific or systemic markup,open
baseline,P3,metadata,https://robertdevore.com/category/,legacy meta keywords present,"clearer discovery, interpretation, or result presentation",high,low to medium,resolve using factual page-specific or systemic markup,open
baseline,P3,metadata,https://robertdevore.com/category/,large Twitter card has no image,"clearer discovery, interpretation, or result presentation",high,low to medium,resolve using factual page-specific or systemic markup,open
baseline,P2,schema,https://robertdevore.com/category/,listing represented as WebSite,"clearer discovery, interpretation, or result presentation",high,low to medium,resolve using factual page-specific or systemic markup,open
baseline,P1,crawlability,https://robertdevore.com/category/,orphan,"clearer discovery, interpretation, or result presentation",high,low to medium,resolve using factual page-specific or systemic markup,open
baseline,P3,metadata,https://robertdevore.com/category/ai-content-systems/,legacy meta keywords present,"clearer discovery, interpretation, or result presentation",high,low to medium,resolve using factual page-specific or systemic markup,open
baseline,P3,metadata,https://robertdevore.com/category/ai-content-systems/,large Twitter card has no image,"clearer discovery, interpretation, or result presentation",high,low to medium,resolve using factual page-specific or systemic markup,open
baseline,P3,metadata,https://robertdevore.com/category/developer-tools/,legacy meta keywords present,"clearer discovery, interpretation, or result presentation",high,low to medium,resolve using factual page-specific or systemic markup,open
baseline,P3,metadata,https://robertdevore.com/category/developer-tools/,large Twitter card has no image,"clearer discovery, interpretation, or result presentation",high,low to medium,resolve using factual page-specific or systemic markup,open
baseline,P3,metadata,https://robertdevore.com/category/engineering-archive/,legacy meta keywords present,"clearer discovery, interpretation, or result presentation",high,low to medium,resolve using factual page-specific or systemic markup,open
baseline,P3,metadata,https://robertdevore.com/category/engineering-archive/,large Twitter card has no image,"clearer discovery, interpretation, or result presentation",high,low to medium,resolve using factual page-specific or systemic markup,open
baseline,P3,metadata,https://robertdevore.com/category/field-notes/,legacy meta keywords present,"clearer discovery, interpretation, or result presentation",high,low to medium,resolve using factual page-specific or systemic markup,open
baseline,P3,metadata,https://robertdevore.com/category/field-notes/,large Twitter card has no image,"clearer discovery, interpretation, or result presentation",high,low to medium,resolve using factual page-specific or systemic markup,open
baseline,P3,metadata,https://robertdevore.com/category/wordpress-archive/,duplicate title,"clearer discovery, interpretation, or result presentation",high,low to medium,resolve using factual page-specific or systemic markup,open
baseline,P3,metadata,https://robertdevore.com/category/wordpress-archive/,duplicate description,"clearer discovery, interpretation, or result presentation",high,low to medium,resolve using factual page-specific or systemic markup,open
baseline,P3,metadata,https://robertdevore.com/category/wordpress-archive/,legacy meta keywords present,"clearer discovery, interpretation, or result presentation",high,low to medium,resolve using factual page-specific or systemic markup,open
baseline,P3,metadata,https://robertdevore.com/category/wordpress-archive/,large Twitter card has no image,"clearer discovery, interpretation, or result presentation",high,low to medium,resolve using factual page-specific or systemic markup,open
baseline,P3,metadata,https://robertdevore.com/celebrating-gaad-with-img-a11y-v1-1-0/,legacy meta keywords present,"clearer discovery, interpretation, or result presentation",high,low to medium,resolve using factual page-specific or systemic markup,open
baseline,P3,metadata,https://robertdevore.com/celebrating-gaad-with-img-a11y-v1-1-0/,large Twitter card has no image,"clearer discovery, interpretation, or result presentation",high,low to medium,resolve using factual page-specific or systemic markup,open
baseline,P2,crawlability,https://robertdevore.com/celebrating-gaad-with-img-a11y-v1-1-0/,3 broken internal links,"clearer discovery, interpretation, or result presentation",high,low to medium,resolve using factual page-specific or systemic markup,open
baseline,P3,metadata,https://robertdevore.com/chapters-for-authors-wordpress-plugin/,legacy meta keywords present,"clearer discovery, interpretation, or result presentation",high,low to medium,resolve using factual page-specific or systemic markup,open
baseline,P3,metadata,https://robertdevore.com/chapters-for-authors-wordpress-plugin/,large Twitter card has no image,"clearer discovery, interpretation, or result presentation",high,low to medium,resolve using factual page-specific or systemic markup,open
baseline,P3,metadata,https://robertdevore.com/clean-blog-free-wordpress-theme/,legacy meta keywords present,"clearer discovery, interpretation, or result presentation",high,low to medium,resolve using factual page-specific or systemic markup,open
baseline,P3,metadata,https://robertdevore.com/clean-blog-free-wordpress-theme/,large Twitter card has no image,"clearer discovery, interpretation, or result presentation",high,low to medium,resolve using factual page-specific or systemic markup,open
baseline,P3,metadata,https://robertdevore.com/complete-beginners-guide-building-a-python-url-checker-for-google-sheets/,legacy meta keywords present,"clearer discovery, interpretation, or result presentation",high,low to medium,resolve using factual page-specific or systemic markup,open
baseline,P3,metadata,https://robertdevore.com/complete-beginners-guide-building-a-python-url-checker-for-google-sheets/,large Twitter card has no image,"clearer discovery, interpretation, or result presentation",high,low to medium,resolve using factual page-specific or systemic markup,open
baseline,P3,metadata,https://robertdevore.com/contact/,legacy meta keywords present,"clearer discovery, interpretation, or result presentation",high,low to medium,resolve using factual page-specific or systemic markup,open
baseline,P3,metadata,https://robertdevore.com/contact/,large Twitter card has no image,"clearer discovery, interpretation, or result presentation",high,low to medium,resolve using factual page-specific or systemic markup,open
baseline,P3,metadata,https://robertdevore.com/creating-my-own-cipher-code/,legacy meta keywords present,"clearer discovery, interpretation, or result presentation",high,low to medium,resolve using factual page-specific or systemic markup,open
baseline,P3,metadata,https://robertdevore.com/creating-my-own-cipher-code/,large Twitter card has no image,"clearer discovery, interpretation, or result presentation",high,low to medium,resolve using factual page-specific or systemic markup,open
baseline,P3,metadata,https://robertdevore.com/customer-loyalty-for-woocommerce-v2/,legacy meta keywords present,"clearer discovery, interpretation, or result presentation",high,low to medium,resolve using factual page-specific or systemic markup,open
baseline,P3,metadata,https://robertdevore.com/customer-loyalty-for-woocommerce-v2/,large Twitter card has no image,"clearer discovery, interpretation, or result presentation",high,low to medium,resolve using factual page-specific or systemic markup,open
baseline,P3,metadata,https://robertdevore.com/db-version-control-wordpress-plugin/,legacy meta keywords present,"clearer discovery, interpretation, or result presentation",high,low to medium,resolve using factual page-specific or systemic markup,open
baseline,P3,metadata,https://robertdevore.com/db-version-control-wordpress-plugin/,large Twitter card has no image,"clearer discovery, interpretation, or result presentation",high,low to medium,resolve using factual page-specific or systemic markup,open
baseline,P3,metadata,https://robertdevore.com/december-2024-a-retrospective/,legacy meta keywords present,"clearer discovery, interpretation, or result presentation",high,low to medium,resolve using factual page-specific or systemic markup,open
baseline,P3,metadata,https://robertdevore.com/december-2024-a-retrospective/,large Twitter card has no image,"clearer discovery, interpretation, or result presentation",high,low to medium,resolve using factual page-specific or systemic markup,open
baseline,P2,crawlability,https://robertdevore.com/december-2024-a-retrospective/,3 broken internal links,"clearer discovery, interpretation, or result presentation",high,low to medium,resolve using factual page-specific or systemic markup,open
baseline,P3,metadata,https://robertdevore.com/delivery-drivers-for-woocommerce/,legacy meta keywords present,"clearer discovery, interpretation, or result presentation",high,low to medium,resolve using factual page-specific or systemic markup,open
baseline,P3,metadata,https://robertdevore.com/delivery-drivers-for-woocommerce/,large Twitter card has no image,"clearer discovery, interpretation, or result presentation",high,low to medium,resolve using factual page-specific or systemic markup,open
baseline,P3,metadata,https://robertdevore.com/devio-digital/,legacy meta keywords present,"clearer discovery, interpretation, or result presentation",high,low to medium,resolve using factual page-specific or systemic markup,open
baseline,P3,metadata,https://robertdevore.com/devio-digital/,large Twitter card has no image,"clearer discovery, interpretation, or result presentation",high,low to medium,resolve using factual page-specific or systemic markup,open
baseline,P3,metadata,https://robertdevore.com/dispensary-wordpress-plugins-2017/,legacy meta keywords present,"clearer discovery, interpretation, or result presentation",high,low to medium,resolve using factual page-specific or systemic markup,open
baseline,P3,metadata,https://robertdevore.com/dispensary-wordpress-plugins-2017/,large Twitter card has no image,"clearer discovery, interpretation, or result presentation",high,low to medium,resolve using factual page-specific or systemic markup,open
baseline,P3,metadata,https://robertdevore.com/do-less-deliver-more/,legacy meta keywords present,"clearer discovery, interpretation, or result presentation",high,low to medium,resolve using factual page-specific or systemic markup,open
baseline,P3,metadata,https://robertdevore.com/do-less-deliver-more/,large Twitter card has no image,"clearer discovery, interpretation, or result presentation",high,low to medium,resolve using factual page-specific or systemic markup,open
baseline,P3,metadata,https://robertdevore.com/docupress-documentation-plugin-for-wordpress/,legacy meta keywords present,"clearer discovery, interpretation, or result presentation",high,low to medium,resolve using factual page-specific or systemic markup,open
baseline,P3,metadata,https://robertdevore.com/docupress-documentation-plugin-for-wordpress/,large Twitter card has no image,"clearer discovery, interpretation, or result presentation",high,low to medium,resolve using factual page-specific or systemic markup,open
baseline,P3,metadata,https://robertdevore.com/dont-shoot-the-messenger-choose-courage-over-convenience/,legacy meta keywords present,"clearer discovery, interpretation, or result presentation",high,low to medium,resolve using factual page-specific or systemic markup,open
baseline,P3,metadata,https://robertdevore.com/dont-shoot-the-messenger-choose-courage-over-convenience/,large Twitter card has no image,"clearer discovery, interpretation, or result presentation",high,low to medium,resolve using factual page-specific or systemic markup,open
baseline,P2,crawlability,https://robertdevore.com/dont-shoot-the-messenger-choose-courage-over-convenience/,1 broken internal links,"clearer discovery, interpretation, or result presentation",high,low to medium,resolve using factual page-specific or systemic markup,open
baseline,P3,metadata,https://robertdevore.com/extreme-programming-for-extreme-leaders/,legacy meta keywords present,"clearer discovery, interpretation, or result presentation",high,low to medium,resolve using factual page-specific or systemic markup,open
baseline,P3,metadata,https://robertdevore.com/extreme-programming-for-extreme-leaders/,large Twitter card has no image,"clearer discovery, interpretation, or result presentation",high,low to medium,resolve using factual page-specific or systemic markup,open
baseline,P2,crawlability,https://robertdevore.com/extreme-programming-for-extreme-leaders/,1 broken internal links,"clearer discovery, interpretation, or result presentation",high,low to medium,resolve using factual page-specific or systemic markup,open
baseline,P3,metadata,https://robertdevore.com/focus/,legacy meta keywords present,"clearer discovery, interpretation, or result presentation",high,low to medium,resolve using factual page-specific or systemic markup,open
baseline,P3,metadata,https://robertdevore.com/focus/,large Twitter card has no image,"clearer discovery, interpretation, or result presentation",high,low to medium,resolve using factual page-specific or systemic markup,open
baseline,P3,metadata,https://robertdevore.com/forever-forward/,legacy meta keywords present,"clearer discovery, interpretation, or result presentation",high,low to medium,resolve using factual page-specific or systemic markup,open
baseline,P3,metadata,https://robertdevore.com/going-all-in-one-year-later/,legacy meta keywords present,"clearer discovery, interpretation, or result presentation",high,low to medium,resolve using factual page-specific or systemic markup,open
baseline,P3,metadata,https://robertdevore.com/going-all-in-one-year-later/,large Twitter card has no image,"clearer discovery, interpretation, or result presentation",high,low to medium,resolve using factual page-specific or systemic markup,open
baseline,P3,metadata,https://robertdevore.com/going-all-in-with-wp-dispensary/,legacy meta keywords present,"clearer discovery, interpretation, or result presentation",high,low to medium,resolve using factual page-specific or systemic markup,open
baseline,P3,metadata,https://robertdevore.com/going-all-in-with-wp-dispensary/,large Twitter card has no image,"clearer discovery, interpretation, or result presentation",high,low to medium,resolve using factual page-specific or systemic markup,open
baseline,P3,metadata,https://robertdevore.com/goodbye-wordpress-a-eulogy/,legacy meta keywords present,"clearer discovery, interpretation, or result presentation",high,low to medium,resolve using factual page-specific or systemic markup,open
baseline,P3,metadata,https://robertdevore.com/goodbye-wordpress-a-eulogy/,large Twitter card has no image,"clearer discovery, interpretation, or result presentation",high,low to medium,resolve using factual page-specific or systemic markup,open
baseline,P2,crawlability,https://robertdevore.com/goodbye-wordpress-a-eulogy/,4 broken internal links,"clearer discovery, interpretation, or result presentation",high,low to medium,resolve using factual page-specific or systemic markup,open
baseline,P3,metadata,https://robertdevore.com/grateful-to-see-21-of-my-wordpress-plugins-live-on-at-webdevstudios/,legacy meta keywords present,"clearer discovery, interpretation, or result presentation",high,low to medium,resolve using factual page-specific or systemic markup,open
baseline,P3,metadata,https://robertdevore.com/grateful-to-see-21-of-my-wordpress-plugins-live-on-at-webdevstudios/,large Twitter card has no image,"clearer discovery, interpretation, or result presentation",high,low to medium,resolve using factual page-specific or systemic markup,open
baseline,P3,metadata,https://robertdevore.com/hello-2017/,legacy meta keywords present,"clearer discovery, interpretation, or result presentation",high,low to medium,resolve using factual page-specific or systemic markup,open
baseline,P3,metadata,https://robertdevore.com/hello-2017/,large Twitter card has no image,"clearer discovery, interpretation, or result presentation",high,low to medium,resolve using factual page-specific or systemic markup,open
baseline,P3,metadata,https://robertdevore.com/hello-plugin-pal-your-ai-powered-plugin-generator-for-wordpress/,legacy meta keywords present,"clearer discovery, interpretation, or result presentation",high,low to medium,resolve using factual page-specific or systemic markup,open
