phase,url,source_file,page_type,primary_purpose,search_intent,target_audience,central_entity,primary_query_theme,supporting_topics,h1,heading_structure,word_count,published_date,modified_date,first_hand_signals,content_gap,competing_internal_url,recommended_action
baseline,https://robertdevore.com/blog/page/11/,generated listing/archive,pagination,Writing,navigational / topic discovery,"developers, technical leaders, WordPress/WooCommerce users, and project evaluators",Writing,writing,Relentless | Chapters for Authors | Twitter Marketing | Invest in Yourself | CannaBiz | Devio Digital | Health Benefits of Cannabis | Recent project updates,Writing,H1: Writing | H2: Relentless | H2: Chapters for Authors | H2: Twitter Marketing | H2: Invest in Yourself | H2: CannaBiz | H2: Devio Digital | H2: Health Benefits of Cannabis | H2: Recent project updates | H2: Making up for lost time | H2: Slackedd | H2: Patience | H2: WP Dispensary,611,,,first-hand narrative; outbound sources,,,retain; monitor search and citation performance
baseline,https://robertdevore.com/blog/page/12/,generated listing/archive,pagination,Writing,navigational / topic discovery,"developers, technical leaders, WordPress/WooCommerce users, and project evaluators",Writing,writing,Leafly Reviews | Focus | Peddle | MNML | Run a Tor relay | Clean Blog,Writing,H1: Writing | H2: Leafly Reviews | H2: Focus | H2: Peddle | H2: MNML | H2: Run a Tor relay | H2: Clean Blog,308,,,first-hand narrative; outbound sources,,,retain; monitor search and citation performance
baseline,https://robertdevore.com/blog/page/2/,generated listing/archive,pagination,Writing,navigational / topic discovery,"developers, technical leaders, WordPress/WooCommerce users, and project evaluators",Writing,writing,"How I Use TextExpander to Reuse My Best AI Prompts | Introducing: DB Version Control for WordPress | How to build a content engine that scales with you | Tools and Workflows for Formatting, Visuals, and Citations | How to edit AI content so it feels clean, not robotic | How to Build Modular Prompts That Save You Hours Per Week | How to teach AI to match your voice | How to Write Prompts That Get the Tone, Structure, and Intent Right",Writing,"H1: Writing | H2: How I Use TextExpander to Reuse My Best AI Prompts | H2: Introducing: DB Version Control for WordPress | H2: How to build a content engine that scales with you | H2: Tools and Workflows for Formatting, Visuals, and Citations | H2: How to edit AI content so it feels clean, not robotic | H2: How to Build Modular Prompts That Save You Hours Per Week | H2: How to teach AI to match your voice | H2: How to Write Prompts That Get the Tone, Structure, and Intent Right | H2: Introducing automattic.css – An open source CSS Utility Framework | H2: How to Use AI to Research, Validate Ideas, and Stay Relevant | H2: 5 Questions You Must Answer Before Writing Anything | H2: Introducing the Prompts Library – A Playground for AI Creativity",658,,,first-hand narrative; outbound sources,,,retain; monitor search and citation performance
baseline,https://robertdevore.com/blog/page/3/,generated listing/archive,pagination,Writing,navigational / topic discovery,"developers, technical leaders, WordPress/WooCommerce users, and project evaluators",Writing,writing,"Just Released: Stattic v.0.3.0 | What Makes Content Beautifully Useful? | Extreme Programming for Extreme Leaders | Plan. Prompt. Publish. A Practical Guide to Creating Beautifully Useful Content with AI | Celebrating GAAD with IMG A11Y v1.1.0 | WordPress Plugin Security Is a Joke, and You’re the Punchline | Use AI to create your own WWF Action Figure Blister Packs | Say Goodbye to WordPress",Writing,"H1: Writing | H2: Just Released: Stattic v.0.3.0 | H2: What Makes Content Beautifully Useful? | H2: Extreme Programming for Extreme Leaders | H2: Plan. Prompt. Publish. A Practical Guide to Creating Beautifully Useful Content with AI | H2: Celebrating GAAD with IMG A11Y v1.1.0 | H2: WordPress Plugin Security Is a Joke, and You’re the Punchline | H2: Use AI to create your own WWF Action Figure Blister Packs | H2: Say Goodbye to WordPress | H2: Don’t Shoot the Messenger: Choose Courage Over Convenience | H2: Kevin Michael Geary: A Hidden History of Hate, Racism, and Bigotry | H2: Open Source is Anarchism in Action | H2: Do Less, Deliver More",587,,,first-hand narrative; outbound sources,,,retain; monitor search and citation performance
baseline,https://robertdevore.com/blog/page/4/,generated listing/archive,pagination,Writing,navigational / topic discovery,"developers, technical leaders, WordPress/WooCommerce users, and project evaluators",Writing,writing,LEAP: The Code of Extreme Leadership | Introducing Projects for WordPress®: A Better Way to Showcase Your Work | Rethinking Keyword Research in the Age of AI | Introducing Slop Stopper: A free content checker for WordPress® | Introducing Dispensary Details for WooCommerce® | I’m freelancing again | Stop Gambling With Client Trust: Why Skipping a Security Audit Is a Risk You Can’t Afford | Introducing an experimental new plugin: Email Designer for WooCommerce®,Writing,"H1: Writing | H2: LEAP: The Code of Extreme Leadership | H2: Introducing Projects for WordPress®: A Better Way to Showcase Your Work | H2: Rethinking Keyword Research in the Age of AI | H2: Introducing Slop Stopper: A free content checker for WordPress® | H2: Introducing Dispensary Details for WooCommerce® | H2: I’m freelancing again | H2: Stop Gambling With Client Trust: Why Skipping a Security Audit Is a Risk You Can’t Afford | H2: Introducing an experimental new plugin: Email Designer for WooCommerce® | H2: BoostBox: Free Popups That Work, Pro Popups That Convert | H2: Introducing Pattern Pal: AI-Powered Patterns for WordPress® | H2: Introducing Digg This: A social sharing plugin for WordPress® | H2: Why WordPress Plugin Developers Need Security Audits",603,,,first-hand narrative; outbound sources,,,retain; monitor search and citation performance
baseline,https://robertdevore.com/blog/page/5/,generated listing/archive,pagination,Writing,navigational / topic discovery,"developers, technical leaders, WordPress/WooCommerce users, and project evaluators",Writing,writing,"How a Security Audit Can Save Your E-Commerce Store from Disaster | IntelliPress: The Smart AF AI Assistant for WordPress® | Hello, Plugin Pal: Your AI Powered Plugin Generator for WordPress® | Introducing Broken Image Scanner | How to Block Website Tracking Data in WooCommerce® | Introducing Block AI Crawlers for WordPress® | Honoring Jesse Petersen with the Revival of “Stealth Login Page” | December 2024: A Retrospective",Writing,"H1: Writing | H2: How a Security Audit Can Save Your E-Commerce Store from Disaster | H2: IntelliPress: The Smart AF AI Assistant for WordPress® | H2: Hello, Plugin Pal: Your AI Powered Plugin Generator for WordPress® | H2: Introducing Broken Image Scanner | H2: How to Block Website Tracking Data in WooCommerce® | H2: Introducing Block AI Crawlers for WordPress® | H2: Honoring Jesse Petersen with the Revival of “Stealth Login Page” | H2: December 2024: A Retrospective | H2: Reusable Flask Error Handling: A Step-by-Step Guide to Modular HTTP Error Responses | H2: Introducing SEO for WordPress® | H2: Introducing Delete Inactive Users | H2: How to Stop Your Plugins & Themes from Being Used on WordPress.com Hosting",584,,,first-hand narrative; outbound sources,,,retain; monitor search and citation performance
baseline,https://robertdevore.com/blog/page/6/,generated listing/archive,pagination,Writing,navigational / topic discovery,"developers, technical leaders, WordPress/WooCommerce users, and project evaluators",Writing,writing,Host Your WordPress Plugins on GitHub and Automate Plugin Packaging | Introducing HPOS Compatibility Scanner for WooCommerce® (free) | Introducing Shipping Multiple Addresses for WooCommerce® (free) | Introducing IMG A11Y | Introducing Vertical Gallery Product Display for WooCommerce® | Introducing Site Vitals for WordPress® | Introducing Associated Taxonomies for WordPress® | Introducing Maintenance Mode for WordPress®,Writing,H1: Writing | H2: Host Your WordPress Plugins on GitHub and Automate Plugin Packaging | H2: Introducing HPOS Compatibility Scanner for WooCommerce® (free) | H2: Introducing Shipping Multiple Addresses for WooCommerce® (free) | H2: Introducing IMG A11Y | H2: Introducing Vertical Gallery Product Display for WooCommerce® | H2: Introducing Site Vitals for WordPress® | H2: Introducing Associated Taxonomies for WordPress® | H2: Introducing Maintenance Mode for WordPress® | H2: Introducing Persistent Dismissible Notices | H2: Introducing Test Orders for WooCommerce® | H2: Introducing Media File Versioning for WordPress® | H2: Introducing Purchase Orders for WooCommerce® (free),538,,,first-hand narrative; outbound sources,,,retain; monitor search and citation performance
baseline,https://robertdevore.com/blog/page/7/,generated listing/archive,pagination,Writing,navigational / topic discovery,"developers, technical leaders, WordPress/WooCommerce users, and project evaluators",Writing,writing,Introducing Table Block Enhancer for WordPress® | Introducing Metadata Import/Export for Yoast SEO | Introducing Bluesky Feed for WordPress® | Introducing Media Copyright Scanner | Introducing Stats for WordPress® | Introducing Bulk Stock Management for WooCommerce® (free) | Introducing Barcodes for WooCommerce® (free) | Introducing Brands for WooCommerce® (free),Writing,H1: Writing | H2: Introducing Table Block Enhancer for WordPress® | H2: Introducing Metadata Import/Export for Yoast SEO | H2: Introducing Bluesky Feed for WordPress® | H2: Introducing Media Copyright Scanner | H2: Introducing Stats for WordPress® | H2: Introducing Bulk Stock Management for WooCommerce® (free) | H2: Introducing Barcodes for WooCommerce® (free) | H2: Introducing Brands for WooCommerce® (free) | H2: Just Released: Customer Loyalty for WooCommerce® v2.0.0! | H2: Introducing the Module Usage Tracker for WP Bakery | H2: Introducing Markdown Exporter for WordPress® | H2: Introducing BenchPress: Performance Benchmarks for WordPress®,555,,,first-hand narrative; outbound sources,,,retain; monitor search and citation performance
baseline,https://robertdevore.com/blog/page/8/,generated listing/archive,pagination,Writing,navigational / topic discovery,"developers, technical leaders, WordPress/WooCommerce users, and project evaluators",Writing,writing,Introducing Content Restriction for WordPress® | Introducing Widget Usage Tracker for Elementor | Introducing Gift Cards for WooCommerce® (free) | Release Notes: Back In Stock Notifications for WooCommerce® (free) v1.0.1 | Introducing Back In Stock Notifications for WooCommerce® | Introducing Gallery Modals: Enhance Your WordPress® Galleries with Stunning Popups! | Introducing the User Login Status Plugin for WordPress | WTF is WordPress?,Writing,H1: Writing | H2: Introducing Content Restriction for WordPress® | H2: Introducing Widget Usage Tracker for Elementor | H2: Introducing Gift Cards for WooCommerce® (free) | H2: Release Notes: Back In Stock Notifications for WooCommerce® (free) v1.0.1 | H2: Introducing Back In Stock Notifications for WooCommerce® | H2: Introducing Gallery Modals: Enhance Your WordPress® Galleries with Stunning Popups! | H2: Introducing the User Login Status Plugin for WordPress | H2: WTF is WordPress? | H2: Introducing the Phlush Permalinks WordPress Plugin | H2: Introducing BoostBox: The 1st WordPress popup builder for the core editor | H2: Improve CLS scores by dynamically setting image width and height | H2: WordPress plugin with 5M+ active installs can be utilized in DDoS attacks,588,,,first-hand narrative; outbound sources,,,retain; monitor search and citation performance
baseline,https://robertdevore.com/blog/page/9/,generated listing/archive,pagination,Writing,navigational / topic discovery,"developers, technical leaders, WordPress/WooCommerce users, and project evaluators",Writing,writing,"5 Python Scripts for OSINT and Pentesting | Introducing IntelliPress: The Smart Ai Assistant for WordPress | Creating my own cipher code | “How hungry are you?” | The past, present and future of WP Dispensary | How to customize the style of your WordPress login screen | Going all in: One year later | Delivery Drivers for WooCommerce",Writing,"H1: Writing | H2: 5 Python Scripts for OSINT and Pentesting | H2: Introducing IntelliPress: The Smart Ai Assistant for WordPress | H2: Creating my own cipher code | H2: “How hungry are you?” | H2: The past, present and future of WP Dispensary | H2: How to customize the style of your WordPress login screen | H2: Going all in: One year later | H2: Delivery Drivers for WooCommerce | H2: Thank You WordPress | H2: 5 Things I’ve learned building my first blocks for Gutenberg | H2: Back to Basics | H2: WP Dispensary v2.0 is being released on 4/20",638,,,first-hand narrative; outbound sources,,,retain; monitor search and citation performance
baseline,https://robertdevore.com/boostbox-free-popups-that-work-pro-popups-that-convert/,content/posts/boostbox-free-popups-that-work-pro-popups-that-convert.md,article,"BoostBox: Free Popups That Work, Pro Popups That Convert",informational,"developers, technical leaders, WordPress/WooCommerce users, and project evaluators","BoostBox: Free Popups That Work, Pro Popups That Convert","boostbox: free popups that work, pro popups that convert","1. It Works Inside the WordPress® Editor, Like It Fucking Should | 2. Smart Popups, Not Annoying Popups | 3. Design It However the Hell You Want | 4. Fast as Fuck | 5. Free Forever (But Pro Takes It to the Next Level) | Why Go Pro? | Final Thoughts: Get BoostBox, Then Get Paid | Related Reading","BoostBox: Free Popups That Work, Pro Popups That Convert","H1: BoostBox: Free Popups That Work, Pro Popups That Convert | H2: 1. It Works Inside the WordPress® Editor, Like It Fucking Should | H2: 2. Smart Popups, Not Annoying Popups | H2: 3. Design It However the Hell You Want | H2: 4. Fast as Fuck | H2: 5. Free Forever (But Pro Takes It to the Next Level) | H3: Why Go Pro? | H2: Final Thoughts: Get BoostBox, Then Get Paid | H2: Related Reading",754,2025-02-11,,first-hand narrative; outbound sources,no verified modified date,,retain; monitor search and citation performance
baseline,https://robertdevore.com/boostbox-wordpress-popup-builder-for-the-core-editor/,content/posts/boostbox-wordpress-popup-builder-for-the-core-editor.md,article,Introducing BoostBox: The 1st WordPress popup builder for the core editor,commercial investigation / product discovery,"developers, technical leaders, WordPress/WooCommerce users, and project evaluators",Introducing BoostBox: The 1st WordPress popup builder for the core editor,introducing boostbox: the 1st wordpress popup builder for the core editor,Why build _another popup plugin_ for WordPress? | BoostBox Admin Settings | Popup Display Settings | BoostBox Popup Settings | BoostBox works great with your favorite FSE WordPress theme | Ollie + BoostBox | Powder + BoostBox | Kadence + BoostBox,Introducing BoostBox: The 1st WordPress popup builder for the core editor,H1: Introducing BoostBox: The 1st WordPress popup builder for the core editor | H2: Why build _another popup plugin_ for WordPress? | H2: BoostBox Admin Settings | H2: Popup Display Settings | H2: BoostBox Popup Settings | H2: BoostBox works great with your favorite FSE WordPress theme | H3: Ollie + BoostBox | H3: Powder + BoostBox | H3: Kadence + BoostBox | H3: Twenty Twenty-Four + BoostBox | H2: Download the BoostBox plugin | H2: What’s next? | H2: Related Reading,1652,2024-01-11,,substantive depth; first-hand narrative; outbound sources,no verified modified date,,retain; monitor search and citation performance
baseline,https://robertdevore.com/cannabis-health-benefits/,content/posts/cannabis-health-benefits.md,article,Health Benefits of Cannabis,informational,"developers, technical leaders, WordPress/WooCommerce users, and project evaluators",Health Benefits of Cannabis,health benefits of cannabis,Medical studies on the effects of cannabis | 1. Anti-cancer effects | 2. Control over epileptic seizures | 3. Post-traumatic stress disorder | 4. Prevent Alzheimer's | 5. Multiple benefits for HIV patients | Additional marijuana success stories | Helping dispensaries grow online business,Health Benefits of Cannabis,H1: Health Benefits of Cannabis | H2: Medical studies on the effects of cannabis | H3: 1. Anti-cancer effects | H3: 2. Control over epileptic seizures | H3: 3. Post-traumatic stress disorder | H3: 4. Prevent Alzheimer's | H3: 5. Multiple benefits for HIV patients | H2: Additional marijuana success stories | H3: Helping dispensaries grow online business | H2: Related Reading,1465,2016-04-20,,substantive depth; first-hand narrative; outbound sources,no verified modified date,,retain; monitor search and citation performance
baseline,https://robertdevore.com/cannabiz/,content/posts/cannabiz.md,article,CannaBiz,informational,"developers, technical leaders, WordPress/WooCommerce users, and project evaluators",CannaBiz,cannabiz,CannaBiz Features | Current Version | The future of WP Dispensary | Related Reading,CannaBiz,H1: CannaBiz | H2: CannaBiz Features | H2: Current Version | H2: The future of WP Dispensary | H2: Related Reading,739,2016-06-14,,first-hand narrative; outbound sources,no verified modified date,,retain; monitor search and citation performance
baseline,https://robertdevore.com/category/,generated listing/archive,category-archive,Categories,navigational / topic discovery,"developers, technical leaders, WordPress/WooCommerce users, and project evaluators",Categories,categories,Developer Tools | WordPress | AI & Content Systems | Engineering Archive | Field Notes,Categories,H1: Categories | H2: Developer Tools | H2: WordPress | H2: AI & Content Systems | H2: Engineering Archive | H2: Field Notes,131,,,first-hand narrative; outbound sources,no visible breadcrumb,,retain; monitor search and citation performance
baseline,https://robertdevore.com/category/ai-content-systems/,content/category/ai-content-systems.md,category-archive,AI & Content Systems,navigational / topic discovery,"developers, technical leaders, WordPress/WooCommerce users, and project evaluators",AI & Content Systems,ai & content systems,Articles,AI & Content Systems,H1: AI & Content Systems | H2: Articles,144,2025-05-27,,outbound sources,no visible breadcrumb,,retain; monitor search and citation performance
baseline,https://robertdevore.com/category/developer-tools/,content/category/developer-tools.md,category-archive,Developer Tools,navigational / topic discovery,"developers, technical leaders, WordPress/WooCommerce users, and project evaluators",Developer Tools,developer tools,Articles,Developer Tools,H1: Developer Tools | H2: Articles,87,2025-07-03,,first-hand narrative; outbound sources,no visible breadcrumb,,retain; monitor search and citation performance
baseline,https://robertdevore.com/category/engineering-archive/,content/category/engineering-archive.md,category-archive,Engineering Archive,navigational / topic discovery,"developers, technical leaders, WordPress/WooCommerce users, and project evaluators",Engineering Archive,engineering archive,Articles,Engineering Archive,H1: Engineering Archive | H2: Articles,17,2016-12-20,,outbound sources,no visible breadcrumb,,retain; monitor search and citation performance
baseline,https://robertdevore.com/category/field-notes/,content/category/field-notes.md,category-archive,Field Notes,navigational / topic discovery,"developers, technical leaders, WordPress/WooCommerce users, and project evaluators",Field Notes,field notes,Articles,Field Notes,H1: Field Notes | H2: Articles,9,2016-06-21,,outbound sources,no visible breadcrumb,,retain; monitor search and citation performance
baseline,https://robertdevore.com/category/wordpress-archive/,content/category/wordpress-archive.md,category-archive,WordPress,navigational / topic discovery,"developers, technical leaders, WordPress/WooCommerce users, and project evaluators",WordPress,wordpress,Articles,WordPress,H1: WordPress | H2: Articles,811,2025-06-20,,first-hand narrative; outbound sources,no visible breadcrumb,,retain; monitor search and citation performance
baseline,https://robertdevore.com/celebrating-gaad-with-img-a11y-v1-1-0/,content/posts/celebrating-gaad-with-img-a11y-v1-1-0.md,article,Celebrating GAAD with IMG A11Y v1.1.0,commercial investigation / product discovery,"developers, technical leaders, WordPress/WooCommerce users, and project evaluators",Celebrating GAAD with IMG A11Y v1.1.0,celebrating gaad with img a11y v1.1.0,"What is GAAD? | IMG A11Y v1.1.0 – Small Changes, Big Impact | 🚫 Removed A11Y Options for Non-Image Media | 🔍 Elementor Support Added | Why This Matters | Why I’m Doing This | How You Can Help | Related Reading",Celebrating GAAD with IMG A11Y v1.1.0,"H1: Celebrating GAAD with IMG A11Y v1.1.0 | H2: What is GAAD? | H2: IMG A11Y v1.1.0 – Small Changes, Big Impact | H3: 🚫 Removed A11Y Options for Non-Image Media | H3: 🔍 Elementor Support Added | H2: Why This Matters | H2: Why I’m Doing This | H2: How You Can Help | H2: Related Reading",585,2025-05-15,,code/example; first-hand narrative; outbound sources,no verified modified date,,retain; monitor search and citation performance
baseline,https://robertdevore.com/chapters-for-authors-wordpress-plugin/,content/posts/chapters-for-authors-wordpress-plugin.md,article,Chapters for Authors,informational,"developers, technical leaders, WordPress/WooCommerce users, and project evaluators",Chapters for Authors,chapters for authors,Installing Chapters for Authors | Creating Chapters | Books | Characters | Introduction Quotes | Thank yous | The road ahead | Related Reading,Chapters for Authors,H1: Chapters for Authors | H2: Installing Chapters for Authors | H2: Creating Chapters | H3: Books | H3: Characters | H3: Introduction Quotes | H2: Thank yous | H2: The road ahead | H2: Related Reading,796,2016-09-27,,code/example; first-hand narrative; outbound sources,no verified modified date,,retain; monitor search and citation performance
baseline,https://robertdevore.com/clean-blog-free-wordpress-theme/,content/posts/clean-blog-free-wordpress-theme.md,article,Clean Blog,informational,"developers, technical leaders, WordPress/WooCommerce users, and project evaluators",Clean Blog,clean blog,Demo & Download | Under the hood | Credits & Thank-you's | The road ahead | Related Reading,Clean Blog,H1: Clean Blog | H2: Demo & Download | H2: Under the hood | H2: Credits & Thank-you's | H2: The road ahead | H2: Related Reading,1321,2015-08-07,,substantive depth; first-hand narrative; outbound sources,no verified modified date,,retain; monitor search and citation performance
