phase,url,source_file,page_type,title,title_length,meta_description,description_length,canonical,robots_directives,lang,author,og_title,og_description,og_url,og_type,og_image,twitter_card,twitter_title,twitter_description,twitter_image,duplicate_title,duplicate_description,issues
baseline,https://robertdevore.com/,templates/page-home.html,homepage,Robert DeVore,13,"Software systems, developer tools, agentic workflows, and technical writing.",76,https://robertdevore.com/,"index, follow (default)",en,Robert DeVore,Robert DeVore,"Software systems, developer tools, agentic workflows, and technical writing.",https://robertdevore.com/,website,,summary_large_image,Robert DeVore,"Software systems, developer tools, agentic workflows, and technical writing.",,True,True,duplicate title; duplicate description; legacy meta keywords present; large Twitter card has no image
baseline,https://robertdevore.com/blog/page/12/,generated listing/archive,pagination,Blog | Robert DeVore,20,"Software systems, developer tools, agentic workflows, and technical writing.",76,https://robertdevore.com/blog/page/12/,"index, follow (default)",en,Robert DeVore,Blog,"Software systems, developer tools, agentic workflows, and technical writing.",https://robertdevore.com/blog/page/12/,website,,summary_large_image,Blog,"Software systems, developer tools, agentic workflows, and technical writing.",,True,True,duplicate title; duplicate description; legacy meta keywords present; large Twitter card has no image
baseline,https://robertdevore.com/blog/page/2/,generated listing/archive,pagination,Blog | Robert DeVore,20,"Software systems, developer tools, agentic workflows, and technical writing.",76,https://robertdevore.com/blog/page/2/,"index, follow (default)",en,Robert DeVore,Blog,"Software systems, developer tools, agentic workflows, and technical writing.",https://robertdevore.com/blog/page/2/,website,,summary_large_image,Blog,"Software systems, developer tools, agentic workflows, and technical writing.",,True,True,duplicate title; duplicate description; legacy meta keywords present; large Twitter card has no image
baseline,https://robertdevore.com/blog/page/3/,generated listing/archive,pagination,Blog | Robert DeVore,20,"Software systems, developer tools, agentic workflows, and technical writing.",76,https://robertdevore.com/blog/page/3/,"index, follow (default)",en,Robert DeVore,Blog,"Software systems, developer tools, agentic workflows, and technical writing.",https://robertdevore.com/blog/page/3/,website,,summary_large_image,Blog,"Software systems, developer tools, agentic workflows, and technical writing.",,True,True,duplicate title; duplicate description; legacy meta keywords present; large Twitter card has no image
baseline,https://robertdevore.com/blog/page/4/,generated listing/archive,pagination,Blog | Robert DeVore,20,"Software systems, developer tools, agentic workflows, and technical writing.",76,https://robertdevore.com/blog/page/4/,"index, follow (default)",en,Robert DeVore,Blog,"Software systems, developer tools, agentic workflows, and technical writing.",https://robertdevore.com/blog/page/4/,website,,summary_large_image,Blog,"Software systems, developer tools, agentic workflows, and technical writing.",,True,True,duplicate title; duplicate description; legacy meta keywords present; large Twitter card has no image
baseline,https://robertdevore.com/blog/page/5/,generated listing/archive,pagination,Blog | Robert DeVore,20,"Software systems, developer tools, agentic workflows, and technical writing.",76,https://robertdevore.com/blog/page/5/,"index, follow (default)",en,Robert DeVore,Blog,"Software systems, developer tools, agentic workflows, and technical writing.",https://robertdevore.com/blog/page/5/,website,,summary_large_image,Blog,"Software systems, developer tools, agentic workflows, and technical writing.",,True,True,duplicate title; duplicate description; legacy meta keywords present; large Twitter card has no image
baseline,https://robertdevore.com/blog/page/6/,generated listing/archive,pagination,Blog | Robert DeVore,20,"Software systems, developer tools, agentic workflows, and technical writing.",76,https://robertdevore.com/blog/page/6/,"index, follow (default)",en,Robert DeVore,Blog,"Software systems, developer tools, agentic workflows, and technical writing.",https://robertdevore.com/blog/page/6/,website,,summary_large_image,Blog,"Software systems, developer tools, agentic workflows, and technical writing.",,True,True,duplicate title; duplicate description; legacy meta keywords present; large Twitter card has no image
baseline,https://robertdevore.com/blog/page/7/,generated listing/archive,pagination,Blog | Robert DeVore,20,"Software systems, developer tools, agentic workflows, and technical writing.",76,https://robertdevore.com/blog/page/7/,"index, follow (default)",en,Robert DeVore,Blog,"Software systems, developer tools, agentic workflows, and technical writing.",https://robertdevore.com/blog/page/7/,website,,summary_large_image,Blog,"Software systems, developer tools, agentic workflows, and technical writing.",,True,True,duplicate title; duplicate description; legacy meta keywords present; large Twitter card has no image
baseline,https://robertdevore.com/blog/page/8/,generated listing/archive,pagination,Blog | Robert DeVore,20,"Software systems, developer tools, agentic workflows, and technical writing.",76,https://robertdevore.com/blog/page/8/,"index, follow (default)",en,Robert DeVore,Blog,"Software systems, developer tools, agentic workflows, and technical writing.",https://robertdevore.com/blog/page/8/,website,,summary_large_image,Blog,"Software systems, developer tools, agentic workflows, and technical writing.",,True,True,duplicate title; duplicate description; legacy meta keywords present; large Twitter card has no image
baseline,https://robertdevore.com/blog/page/9/,generated listing/archive,pagination,Blog | Robert DeVore,20,"Software systems, developer tools, agentic workflows, and technical writing.",76,https://robertdevore.com/blog/page/9/,"index, follow (default)",en,Robert DeVore,Blog,"Software systems, developer tools, agentic workflows, and technical writing.",https://robertdevore.com/blog/page/9/,website,,summary_large_image,Blog,"Software systems, developer tools, agentic workflows, and technical writing.",,True,True,duplicate title; duplicate description; legacy meta keywords present; large Twitter card has no image
baseline,https://robertdevore.com/boostbox-free-popups-that-work-pro-popups-that-convert/,content/posts/boostbox-free-popups-that-work-pro-popups-that-convert.md,article,"BoostBox: Free Popups That Work, Pro Popups That Convert | Robert DeVore",72,"Popups are fucking powerful – when they don’t suck. The problem? Most popup plugins are bloated, slow, and designed by people who clearly hate web performance . They force you into some janky drag-and-drop builder, load…",220,https://robertdevore.com/boostbox-free-popups-that-work-pro-popups-that-convert/,"index, follow (default)",en,Robert DeVore,"BoostBox: Free Popups That Work, Pro Popups That Convert","Popups are fucking powerful – when they don’t suck. The problem? Most popup plugins are bloated, slow, and designed by people who clearly hate web performance . They force you into some janky drag-and-drop builder, load…",https://robertdevore.com/boostbox-free-popups-that-work-pro-popups-that-convert/,article,,summary_large_image,"BoostBox: Free Popups That Work, Pro Popups That Convert","Popups are fucking powerful – when they don’t suck. The problem? Most popup plugins are bloated, slow, and designed by people who clearly hate web performance . They force you into some janky drag-and-drop builder, load…",,False,False,legacy meta keywords present; large Twitter card has no image
baseline,https://robertdevore.com/boostbox-wordpress-popup-builder-for-the-core-editor/,content/posts/boostbox-wordpress-popup-builder-for-the-core-editor.md,article,Introducing BoostBox: The 1st WordPress popup builder for the core editor | Robert DeVore,89,What better way to start off the year than to release a free WordPress plugin that lets you design your popups using the core WordPress editor? That’s exactly what I’m doing today – say hello to BoostBox 😎 Whether you…,218,https://robertdevore.com/boostbox-wordpress-popup-builder-for-the-core-editor/,"index, follow (default)",en,Robert DeVore,Introducing BoostBox: The 1st WordPress popup builder for the core editor,What better way to start off the year than to release a free WordPress plugin that lets you design your popups using the core WordPress editor? That’s exactly what I’m doing today – say hello to BoostBox 😎 Whether you…,https://robertdevore.com/boostbox-wordpress-popup-builder-for-the-core-editor/,article,,summary_large_image,Introducing BoostBox: The 1st WordPress popup builder for the core editor,What better way to start off the year than to release a free WordPress plugin that lets you design your popups using the core WordPress editor? That’s exactly what I’m doing today – say hello to BoostBox 😎 Whether you…,,False,False,legacy meta keywords present; large Twitter card has no image
baseline,https://robertdevore.com/cannabis-health-benefits/,content/posts/cannabis-health-benefits.md,article,Health Benefits of Cannabis | Robert DeVore,43,"Nature is mans best medicine, even when those who benefit off of sick people tell you otherwise. Within the marijuana plant there are two main properties, cannabidiol (CBD) — which works without the 'high' effect - and…",219,https://robertdevore.com/cannabis-health-benefits/,"index, follow (default)",en,Robert DeVore,Health Benefits of Cannabis,"Nature is mans best medicine, even when those who benefit off of sick people tell you otherwise. Within the marijuana plant there are two main properties, cannabidiol (CBD) — which works without the 'high' effect - and…",https://robertdevore.com/cannabis-health-benefits/,article,,summary_large_image,Health Benefits of Cannabis,"Nature is mans best medicine, even when those who benefit off of sick people tell you otherwise. Within the marijuana plant there are two main properties, cannabidiol (CBD) — which works without the 'high' effect - and…",,False,False,legacy meta keywords present; large Twitter card has no image
baseline,https://robertdevore.com/cannabiz/,content/posts/cannabiz.md,article,CannaBiz | Robert DeVore,24,"After building the WP Dispensary plugin and and add-on's like MMJMenu Sync, WooCommerce Connect, Inventory Management, & Locations it was time to work on a top shelf theme that brings the entire package together. Last…",218,https://robertdevore.com/cannabiz/,"index, follow (default)",en,Robert DeVore,CannaBiz,"After building the WP Dispensary plugin and and add-on's like MMJMenu Sync, WooCommerce Connect, Inventory Management, & Locations it was time to work on a top shelf theme that brings the entire package together. Last…",https://robertdevore.com/cannabiz/,article,,summary_large_image,CannaBiz,"After building the WP Dispensary plugin and and add-on's like MMJMenu Sync, WooCommerce Connect, Inventory Management, & Locations it was time to work on a top shelf theme that brings the entire package together. Last…",,False,False,legacy meta keywords present; large Twitter card has no image
baseline,https://robertdevore.com/category/,generated listing/archive,category-archive,Category | Robert DeVore,24,"Software systems, developer tools, agentic workflows, and technical writing.",76,https://robertdevore.com/category/,"index, follow (default)",en,Robert DeVore,Category,"Software systems, developer tools, agentic workflows, and technical writing.",https://robertdevore.com/category/,website,,summary_large_image,Category,"Software systems, developer tools, agentic workflows, and technical writing.",,False,True,duplicate description; legacy meta keywords present; large Twitter card has no image
baseline,https://robertdevore.com/category/ai-content-systems/,content/category/ai-content-systems.md,category-archive,AI & Content Systems | Robert DeVore,36,Writing filed under AI & Content Systems.,41,https://robertdevore.com/category/ai-content-systems/,"index, follow (default)",en,Robert DeVore,AI & Content Systems,Writing filed under AI & Content Systems.,https://robertdevore.com/category/ai-content-systems/,article,,summary_large_image,AI & Content Systems,Writing filed under AI & Content Systems.,,False,False,legacy meta keywords present; large Twitter card has no image
baseline,https://robertdevore.com/category/developer-tools/,content/category/developer-tools.md,category-archive,Developer Tools | Robert DeVore,31,Writing filed under Developer Tools.,36,https://robertdevore.com/category/developer-tools/,"index, follow (default)",en,Robert DeVore,Developer Tools,Writing filed under Developer Tools.,https://robertdevore.com/category/developer-tools/,article,,summary_large_image,Developer Tools,Writing filed under Developer Tools.,,False,False,legacy meta keywords present; large Twitter card has no image
baseline,https://robertdevore.com/category/engineering-archive/,content/category/engineering-archive.md,category-archive,Engineering Archive | Robert DeVore,35,Writing filed under Engineering Archive.,40,https://robertdevore.com/category/engineering-archive/,"index, follow (default)",en,Robert DeVore,Engineering Archive,Writing filed under Engineering Archive.,https://robertdevore.com/category/engineering-archive/,article,,summary_large_image,Engineering Archive,Writing filed under Engineering Archive.,,False,False,legacy meta keywords present; large Twitter card has no image
baseline,https://robertdevore.com/category/field-notes/,content/category/field-notes.md,category-archive,Field Notes | Robert DeVore,27,Writing filed under Field Notes.,32,https://robertdevore.com/category/field-notes/,"index, follow (default)",en,Robert DeVore,Field Notes,Writing filed under Field Notes.,https://robertdevore.com/category/field-notes/,article,,summary_large_image,Field Notes,Writing filed under Field Notes.,,False,False,legacy meta keywords present; large Twitter card has no image
baseline,https://robertdevore.com/category/wordpress-archive/,content/category/wordpress-archive.md,category-archive,WordPress | Robert DeVore,25,Writing filed under WordPress.,30,https://robertdevore.com/category/wordpress-archive/,"index, follow (default)",en,Robert DeVore,WordPress,Writing filed under WordPress.,https://robertdevore.com/category/wordpress-archive/,article,,summary_large_image,WordPress,Writing filed under WordPress.,,True,True,duplicate title; duplicate description; legacy meta keywords present; large Twitter card has no image
baseline,https://robertdevore.com/celebrating-gaad-with-img-a11y-v1-1-0/,content/posts/celebrating-gaad-with-img-a11y-v1-1-0.md,article,Celebrating GAAD with IMG A11Y v1.1.0 | Robert DeVore,53,"Today is Global Accessibility Awareness Day (GAAD) , and I’m celebrating the only way I know how: shipping code that actually helps. I pledged time with Equalize Digital to focus my time on the IMG A11Y plugin, and…",215,https://robertdevore.com/celebrating-gaad-with-img-a11y-v1-1-0/,"index, follow (default)",en,Robert DeVore,Celebrating GAAD with IMG A11Y v1.1.0,"Today is Global Accessibility Awareness Day (GAAD) , and I’m celebrating the only way I know how: shipping code that actually helps. I pledged time with Equalize Digital to focus my time on the IMG A11Y plugin, and…",https://robertdevore.com/celebrating-gaad-with-img-a11y-v1-1-0/,article,,summary_large_image,Celebrating GAAD with IMG A11Y v1.1.0,"Today is Global Accessibility Awareness Day (GAAD) , and I’m celebrating the only way I know how: shipping code that actually helps. I pledged time with Equalize Digital to focus my time on the IMG A11Y plugin, and…",,False,False,legacy meta keywords present; large Twitter card has no image
baseline,https://robertdevore.com/chapters-for-authors-wordpress-plugin/,content/posts/chapters-for-authors-wordpress-plugin.md,article,Chapters for Authors | Robert DeVore,36,It's amazing what you can come up with randomly over the weekend while doing a dozen other things ? Case in point - Chapters for Authors ? This is a new plugin I built from an idea I got when I read a tweet from Ines…,217,https://robertdevore.com/chapters-for-authors-wordpress-plugin/,"index, follow (default)",en,Robert DeVore,Chapters for Authors,It's amazing what you can come up with randomly over the weekend while doing a dozen other things ? Case in point - Chapters for Authors ? This is a new plugin I built from an idea I got when I read a tweet from Ines…,https://robertdevore.com/chapters-for-authors-wordpress-plugin/,article,,summary_large_image,Chapters for Authors,It's amazing what you can come up with randomly over the weekend while doing a dozen other things ? Case in point - Chapters for Authors ? This is a new plugin I built from an idea I got when I read a tweet from Ines…,,False,False,legacy meta keywords present; large Twitter card has no image
baseline,https://robertdevore.com/clean-blog-free-wordpress-theme/,content/posts/clean-blog-free-wordpress-theme.md,article,Clean Blog | Robert DeVore,26,"Today, I am releasing my first official open source WordPress theme. I've worked with WordPress for years, but have never created anything that is free to download … until now. Being able to create open source projects,…",220,https://robertdevore.com/clean-blog-free-wordpress-theme/,"index, follow (default)",en,Robert DeVore,Clean Blog,"Today, I am releasing my first official open source WordPress theme. I've worked with WordPress for years, but have never created anything that is free to download … until now. Being able to create open source projects,…",https://robertdevore.com/clean-blog-free-wordpress-theme/,article,,summary_large_image,Clean Blog,"Today, I am releasing my first official open source WordPress theme. I've worked with WordPress for years, but have never created anything that is free to download … until now. Being able to create open source projects,…",,False,False,legacy meta keywords present; large Twitter card has no image
baseline,https://robertdevore.com/complete-beginners-guide-building-a-python-url-checker-for-google-sheets/,content/posts/complete-beginners-guide-building-a-python-url-checker-for-google-sheets.md,article,Complete Beginner’s Guide: Building a Python URL Checker for Google Sheets | Robert DeVore,90,Don’t worry if you’ve never written Python before! This tutorial will explain every single line of code so you understand exactly what’s happening. Think of this like you’re building with LEGO blocks – we’ll add one…,216,https://robertdevore.com/complete-beginners-guide-building-a-python-url-checker-for-google-sheets/,"index, follow (default)",en,Robert DeVore,Complete Beginner’s Guide: Building a Python URL Checker for Google Sheets,Don’t worry if you’ve never written Python before! This tutorial will explain every single line of code so you understand exactly what’s happening. Think of this like you’re building with LEGO blocks – we’ll add one…,https://robertdevore.com/complete-beginners-guide-building-a-python-url-checker-for-google-sheets/,article,,summary_large_image,Complete Beginner’s Guide: Building a Python URL Checker for Google Sheets,Don’t worry if you’ve never written Python before! This tutorial will explain every single line of code so you understand exactly what’s happening. Think of this like you’re building with LEGO blocks – we’ll add one…,,False,False,legacy meta keywords present; large Twitter card has no image
baseline,https://robertdevore.com/contact/,content/pages/contact.md,page,Contact | Robert DeVore,23,"Contact Robert DeVore about software systems, developer tools, agent workflows, publishing, and open-source work.",113,https://robertdevore.com/contact/,"index, follow (default)",en,Robert DeVore,Contact,"Contact Robert DeVore about software systems, developer tools, agent workflows, publishing, and open-source work.",https://robertdevore.com/contact/,website,,summary_large_image,Contact,"Contact Robert DeVore about software systems, developer tools, agent workflows, publishing, and open-source work.",,False,False,legacy meta keywords present; large Twitter card has no image
baseline,https://robertdevore.com/creating-my-own-cipher-code/,content/posts/creating-my-own-cipher-code.md,article,Creating my own cipher code | Robert DeVore,43,"I can’t remember what sparked the idea, but I got bit by a strong urge to create my own cipher. Maybe it’s all the spy shit I watch on TV 😂 Regardless, I knew that there were a couple of things that I needed to figure…",218,https://robertdevore.com/creating-my-own-cipher-code/,"index, follow (default)",en,Robert DeVore,Creating my own cipher code,"I can’t remember what sparked the idea, but I got bit by a strong urge to create my own cipher. Maybe it’s all the spy shit I watch on TV 😂 Regardless, I knew that there were a couple of things that I needed to figure…",https://robertdevore.com/creating-my-own-cipher-code/,article,,summary_large_image,Creating my own cipher code,"I can’t remember what sparked the idea, but I got bit by a strong urge to create my own cipher. Maybe it’s all the spy shit I watch on TV 😂 Regardless, I knew that there were a couple of things that I needed to figure…",,False,False,legacy meta keywords present; large Twitter card has no image
baseline,https://robertdevore.com/customer-loyalty-for-woocommerce-v2/,content/posts/customer-loyalty-for-woocommerce-v2.md,article,Just Released: Customer Loyalty for WooCommerce® v2.0.0! | Robert DeVore,72,"Welcome to another edition of #WooWednesday ! This week, I’m excited to unveil a significant update to Customer Loyalty for WooCommerce® with the release of version 2.0.0 . I’m committed to bringing you feature-rich,…",217,https://robertdevore.com/customer-loyalty-for-woocommerce-v2/,"index, follow (default)",en,Robert DeVore,Just Released: Customer Loyalty for WooCommerce® v2.0.0!,"Welcome to another edition of #WooWednesday ! This week, I’m excited to unveil a significant update to Customer Loyalty for WooCommerce® with the release of version 2.0.0 . I’m committed to bringing you feature-rich,…",https://robertdevore.com/customer-loyalty-for-woocommerce-v2/,article,,summary_large_image,Just Released: Customer Loyalty for WooCommerce® v2.0.0!,"Welcome to another edition of #WooWednesday ! This week, I’m excited to unveil a significant update to Customer Loyalty for WooCommerce® with the release of version 2.0.0 . I’m committed to bringing you feature-rich,…",,False,False,legacy meta keywords present; large Twitter card has no image
baseline,https://robertdevore.com/db-version-control-wordpress-plugin/,content/posts/db-version-control-wordpress-plugin.md,article,Introducing: DB Version Control for WordPress | Robert DeVore,61,"Finally, a WordPress plugin that treats your content like code. After years of wrestling with database dumps, manual content migrations, and the constant fear of losing site changes, I’m excited to introduce DB Version…",219,https://robertdevore.com/db-version-control-wordpress-plugin/,"index, follow (default)",en,Robert DeVore,Introducing: DB Version Control for WordPress,"Finally, a WordPress plugin that treats your content like code. After years of wrestling with database dumps, manual content migrations, and the constant fear of losing site changes, I’m excited to introduce DB Version…",https://robertdevore.com/db-version-control-wordpress-plugin/,article,,summary_large_image,Introducing: DB Version Control for WordPress,"Finally, a WordPress plugin that treats your content like code. After years of wrestling with database dumps, manual content migrations, and the constant fear of losing site changes, I’m excited to introduce DB Version…",,False,False,legacy meta keywords present; large Twitter card has no image
baseline,https://robertdevore.com/december-2024-a-retrospective/,content/posts/december-2024-a-retrospective.md,article,December 2024: A Retrospective | Robert DeVore,46,"Talk about a December to Remember , amirite? 😂💪💯 In November of 2024 I started releasing free WordPress® and WooCommerce® plugins, and I liked the way it felt. So I decided to do some more of that in December. I called…",219,https://robertdevore.com/december-2024-a-retrospective/,"index, follow (default)",en,Robert DeVore,December 2024: A Retrospective,"Talk about a December to Remember , amirite? 😂💪💯 In November of 2024 I started releasing free WordPress® and WooCommerce® plugins, and I liked the way it felt. So I decided to do some more of that in December. I called…",https://robertdevore.com/december-2024-a-retrospective/,article,,summary_large_image,December 2024: A Retrospective,"Talk about a December to Remember , amirite? 😂💪💯 In November of 2024 I started releasing free WordPress® and WooCommerce® plugins, and I liked the way it felt. So I decided to do some more of that in December. I called…",,False,False,legacy meta keywords present; large Twitter card has no image
baseline,https://robertdevore.com/delivery-drivers-for-woocommerce/,content/posts/delivery-drivers-for-woocommerce.md,article,Delivery Drivers for WooCommerce | Robert DeVore,48,"Today I am happy to announce the release of my newest open source plugin, Delivery Drivers for WooCommerce . As you can probably guess by the name, it's a plugin for WooCommerce that adds functionality for businesses…",217,https://robertdevore.com/delivery-drivers-for-woocommerce/,"index, follow (default)",en,Robert DeVore,Delivery Drivers for WooCommerce,"Today I am happy to announce the release of my newest open source plugin, Delivery Drivers for WooCommerce . As you can probably guess by the name, it's a plugin for WooCommerce that adds functionality for businesses…",https://robertdevore.com/delivery-drivers-for-woocommerce/,article,,summary_large_image,Delivery Drivers for WooCommerce,"Today I am happy to announce the release of my newest open source plugin, Delivery Drivers for WooCommerce . As you can probably guess by the name, it's a plugin for WooCommerce that adds functionality for businesses…",,False,False,legacy meta keywords present; large Twitter card has no image
